DATE,FORMAT,POST,LABELS,IMPRESSIONS,REACTIONS,COMMENTS,SHARES,CLICKS,VIDEO-VIEWS
,,"When cancer impacted her life, AI engineer, Karen Kilroy turned to an unexpected source of support: artificial intelligence.",,,,,,,
,,"Misdiagnosed cancer, ...",,,,,,,
6-Jan-26, Image,Picture,Team & Culture,15,1,0,0,0,0
10:00 AM CST,,"Advisor/Consultant: Cian Robinson, MBA",,,,,,,
,,"Cian Robinson, MS | Market Access & PBM Strategy Advisor",,,,,,,
,,"We’re excited to share that Cian Robinson, MS Public Policy, is supporting us as a market access advisor! Cian offers experienced perspecti...",,,,,,,
1-Jan-26, Image,Picture,Thought Leadership & Industry Insights,13,1,0,0,1,0
10:01 AM CST,,Prior Auth Burden for Physicians & Patients,,,,,,,
,,"A mounting burden: physicians are reporting serious administrative overload as prior authorization demands surge. Many report delays, disrupted care, and burnout tied to prior auth workloads.",,,,,,,
,,For...,,,,,,,
30-Dec-25, Image,Picture,Thought Leadership & Industry Insights,12,1,0,0,1,0
10:02 AM CST,,On AI → Prior-Auth Denials,,,,,,,
,,New data alert: 61% of physicians are concerned payer prior authorization AI tools will drive up denials and will undermine clinical judgment.,,,,,,,
,,"For oncology clinics navigating high-cost, biomarker...",,,,,,,
25-Dec-25, Image,Picture,Events & Partnerships,8,1,0,0,0,0
10:00 AM CST,,NSF SBIR Ph I Workshop,,,,,,,
,,The NSF SBIR Phase I awardee workshop this month was energizing.,,,,,,,
,,"We had the chance to learn from sessions on National I-Corps training, Phase II review insights, storytelling, intellectual propert...",,,,,,,
23-Dec-25, Image,Picture,Events & Partnerships,8,0,0,0,0,0
10:00 AM CST,,AR 10X accelerator completion,,,,,,,
,,We’re proud to share that Hidalga Technologies completed the AR 10X Accelerator Program facilitated by the Conductor supported by the Arkansas Economic Development Commission,,,,,,,
,,This experience sharp...,,,,,,,
18-Dec-25, Image,Picture,Thought Leadership & Industry Insights,6,0,0,0,0,0
10:02 AM CST,,Global Cancer Burden,,,,,,,
,,The global cancer burden is rising fast and cancer services are not keeping pace. Recent estimates show many countries lack adequate financing for priority cancer care and palliative services.,,,,,,,
,,Th...,,,,,,,
16-Dec-25, Image,Picture,Thought Leadership & Industry Insights,4,0,0,0,0,0
10:00 AM CST,,Growth of AI in healthcare market,,,,,,,
,,"The AI in healthcare market is ballooning, reflecting strong demand for automation across clinical and administrative domains, including prior authorization, claims, and care coordination.",,,,,,,
,,As pay...,,,,,,,
11-Dec-25, Image,Picture,Team & Culture,14,1,0,0,0,0
10:01 AM CST,,"Advisor/Consultant: Jenn Pingul, MHA",,,,,,,
,,"Jenn Pingul, MHA | Specialty Pharmacy Advisor",,,,,,,
,,"We’re thrilled to have Jenn Pingul, MHA, advising on specialty pharmacy operations on a national level.",,,,,,,
,,Jenn brings extensive experience in pharmacy ...,,,,,,,
9-Dec-25, Image,Picture,Team & Culture,5,0,0,0,0,0
10:01 AM CST,,Trey Hulse,,,,,,,
,,"Trey Hulse, MBA | Full Stack Software Engineer",,,,,,,
,,"We’re thrilled to have @Trey Hulse, MBA, joining as a full stack software development engineer for the hidalga™ project.",,,,,,,
,,Trey brings deep expertise ...,,,,,,,
5-Dec-25, Simple Status,,,6,0,0,0,0,0
11:22 AM CST,,,,,,,,,
4-Dec-25, Image,Picture,Thought Leadership & Industry Insights,12,0,0,0,0,0
10:00 AM CST,,Clinic focused,,,,,,,
,,39 prior auths EVERY week… per physician?!,,,,,,,
,,That’s 13 hours of lost clinical time.,,,,,,,
,,And 89% of clinicians say prior auth fuels burnout.,,,,,,,
,,How is this still acceptable in 2025?!,,,,,,,
,,#ClinicianBurnout #H...,,,,,,,
2-Dec-25, Image,Picture,Thought Leadership & Industry Insights,0,0,0,0,0,0
10:00 AM CST,,Data focused industry insight,,,,,,,
,,$3.41 vs $0.05 per prior auth… which one would YOU choose?!,,,,,,,
,,"Automation can drop costs by ~98%, and clinics are still stuck with manual workflows.",,,,,,,
,,Imagine that multiplied across thousands of autho...,,,,,,,
